issuer_name,esg_score_zscore
OLD DOMINION FREIGHT LINE INC.,0.5907669746891969
OLD REPUBLIC INTERNATIONAL CORPORATION,-0.9374603388957115
OLYMPUS CORPORATION,-1.569830261758432
OMNICOM GROUP INC.,-0.7793678581800314
OMRON Corporation,1.3812293782675977
OMV Aktiengesellschaft,1.1704394039800239
ONEOK INC.,1.1704394039800239
ONEX CORPORATION,-1.833317729617899
ONO PHARMACEUTICAL CO. LTD.,0.2745820132578363
ON SEMICONDUCTOR CORPORATION,0.011094545398369382
ONWARD HOLDINGS CO. LTD.,-2.78187261391198
Open House Group Co.LTD.,-0.4104854031767776
Open Text Corporation,1.3285318846957044
ORACLE CORPORATION,0.16918702611404945
ORACLE CORPORATION JAPAN,-0.19969542888920389
ORANGE BELGIUM SA,-0.9901578324676047
ORANGE SA,-0.041602948173523814
O'Reilly Automotive Inc.,-1.4644352746146454
ORGANON & CO.,-0.3577879096048844
ORICA LIMITED,1.0650444168362376
ORIENTAL LAND CO.LTD.,0.8542544425486638
ORIENT OVERSEAS (INTERNATIONAL) LIMITED,-1.569830261758432
ORIGIN ENERGY LIMITED,-0.5158803903205644
Orion Oyj,0.3799770004016232
ORIX CORPORATION,0.5380694811173032
ORKLA ASA,1.6974143396989578
ORORA LIMITED,0.8015569489767707
Orron Energy AB,0.43267449397351637
OSAKA GAS CO. LTD.,0.16918702611404945
OSAKA Titanium technologies Co.Ltd.,-0.7793678581800314
OSHKOSH CORPORATION,1.6974143396989578
OTIS WORLDWIDE CORPORATION,-0.041602948173523814
OTSUKA CORPORATION,-0.041602948173523814
Otsuka Holdings Co. Ltd.,0.11648953254215624
Outokumpu Oyj,0.5380694811173032
OVERSEA-CHINESE BANKING CORPORATION LIMITED,0.32727950682972995
OVINTIV INC.,1.5393218589832773
OWENS CORNING,0.7488594554048765
PACCAR INC,-0.9374603388957115
PACIFIC BASIN SHIPPING LIMITED,-0.9374603388957115
PACKAGING CORPORATION OF AMERICA,-1.0428553260394984
PALADIN ENERGY LTD,0.32727950682972995
PALANTIR TECHNOLOGIES INC.,-2.3075951717649392
PALO ALTO NETWORKS INC.,0.43267449397351637
Pan American Silver Corp.,-1.2536453003270716
Panasonic Holdings Corporation,0.9438401816208826
Pandora A/S,1.6974143396989578
Pan Ocean Co. Ltd.,-1.569830261758432
Pan Pacific International Holdings Corporation,0.64346446826109
PARAMOUNT GLOBAL,0.06379203897026305
PARKER-HANNIFIN CORPORATION,-0.6739728710362445
PARKLAND CORPORATION.,0.8015569489767707
PARTNER COMMUNICATIONS COMPANY LTD.,0.5907669746891969
Partners Group Holding AG,0.06379203897026305
PATTERSON COMPANIES INC.,1.6974143396989578
PATTERSON-UTI ENERGY INC.,-1.833317729617899
PAYCHEX INC.,0.2745820132578363
PAYCOM SOFTWARE INC.,0.011094545398369382
PAYPAL HOLDINGS INC.,-0.09430044174541748
PCCW LIMITED,0.11648953254215624
Peach Property Group AG,-0.25239292246109757
PEARSON PLC,0.906951936120557
AUTODESK INC.,1.6974143396989578
AUTOLIV INC.,-1.9914102103335791
AUTOMATIC DATA PROCESSING INC.,1.5920193525551714
AUTONATION INC.,-0.30509041603299075
Autoneum Holding AG,-0.19969542888920389
AUTOZONE INC.,-0.14699793531731067
AVANGRID INC.,1.3285318846957044
AVANTOR INC.,0.48537198754541006
AVERY DENNISON CORPORATION,0.43267449397351637
AviChina Industry & Technology Company Limited,-2.834570107483873
AVIVA PLC,1.6974143396989578
AVNET INC.,1.2231368975519172
Avolta AG,0.011094545398369382
AXA SA,1.1704394039800239
AXIS CAPITAL HOLDINGS LIMITED,-0.7793678581800314
AXON ENTERPRISE INC.,0.7488594554048765
Azbil Corporation,1.6974143396989578
AZRIELI GROUP LTD.,-1.6225277553303254
B2GOLD CORP.,0.5380694811173032
BABCOCK INTERNATIONAL GROUP PLC,-0.041602948173523814
Bachem Holding AG,-0.7266703646081377
